[23-Jun-2013 16:49:52] PHP Notice:  Use of undefined constant length - assumed 'length' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 131
[23-Jun-2013 16:49:52] PHP Notice:  Use of undefined constant length - assumed 'length' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 131
[23-Jun-2013 16:56:19] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 104
[23-Jun-2013 16:56:19] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 104
[23-Jun-2013 16:56:19] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 128
[23-Jun-2013 16:56:19] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 128
[23-Jun-2013 16:56:55] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 16:56:55] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 130
[23-Jun-2013 17:07:39] PHP Notice:  Undefined index: user_name in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 71
[23-Jun-2013 17:07:39] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 74
[23-Jun-2013 17:07:39] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 76
[23-Jun-2013 17:07:39] PHP Notice:  Undefined index: user_name in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 88
[23-Jun-2013 17:07:39] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 91
